id_matricula,id_aluno,id,Column1,co_uf_nasc,co_uf_end,co_curso_educ_profissional,co_municipio_end,co_municipio_nasc,co_pais_origem,in_autismo,in_baixa_visao,in_cegueira,in_def_auditiva,in_def_fisica,in_def_intelectual,in_def_multipla,in_surdez,in_surdocegueira,nome_escola_id,nu_ano,nu_ano_censo,nu_dias_atividade,nu_dur_aee_outras_redes,nu_dur_ativ_comp_outras_redes,nu_dur_aee_mesma_rede,nu_duracao_turma,nu_dur_ativ_comp_mesma_rede,nu_idade_referencia,nu_idade,nu_mes,tp_dependencia,tp_cor_raca,tp_sexo,in_necessidade_especial
35509808,119554641701,3792797,3792325,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,0,0,11,12,9,NA,0,2,0
35509809,111386117861,3787295,3786823,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,355,0,11,12,8,NA,3,2,0
35509810,113091886459,3788050,3787578,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1994,2013,,,0,,240,0,19,19,5,NA,0,1,0
35509811,118533122828,3789656,3789184,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,355,0,15,15,2,NA,3,1,0
35509812,121831658630,3793932,3793460,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,7,NA,3,1,0
35509813,118525314608,3791518,3791046,29,29,0,2927408,2922508,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,355,0,14,15,6,NA,3,1,0
35509814,118560008186,3792755,3792283,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,295,0,14,15,6,NA,3,1,0
35509815,118533142772,3787686,3787214,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,10,NA,3,1,0
35509816,118533158938,3790328,3789856,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,355,118,12,13,6,NA,0,1,0
35509817,118533158938,3794470,3793998,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,0,0,12,13,6,NA,0,1,0
35509818,117636089210,3789049,3788577,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,16,16,4,NA,3,2,0
35509820,111235640352,3793346,3792874,29,29,0,2927408,2925758,76,0,0,0,0,0,0,0,0,0,474,1993,2013,,,0,,355,0,19,20,10,NA,0,2,0
35509821,118532517985,3786894,3786422,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,14,14,4,NA,0,2,0
35509822,118532556611,3792756,3792284,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,295,0,15,15,1,NA,3,2,0
35509823,118532502600,3790379,3789907,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1993,2013,,,0,,240,0,19,20,12,NA,3,2,0
35509824,111596381107,3787683,3787211,27,29,0,2927408,2704302,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,355,0,16,17,8,NA,1,2,0
35509825,123704298955,3791519,3791047,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,6,NA,3,2,0
35509826,118803367585,3786866,3786394,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,16,16,1,NA,3,2,0
35509827,118532520420,3787719,3787247,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,295,0,14,15,8,NA,3,2,0
35509829,113831567785,3786474,3786002,29,29,0,2927408,2911204,76,0,0,0,0,0,0,0,0,0,474,1994,2013,,,0,,355,0,18,19,9,NA,0,2,0
35509830,124140034300,3788085,3787613,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,11,NA,0,2,0
35509832,112790308364,3789601,3789129,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1991,2013,,,0,,355,0,21,22,9,NA,0,2,0
35509833,118533121694,3791520,3791048,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,355,0,15,15,3,NA,3,2,0
35509834,118803108059,3787684,3787212,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,16,16,1,NA,3,2,0
35509835,118532129977,3791548,3791076,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,355,0,11,12,9,NA,3,2,0
35509836,118532110443,3790326,3789854,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,355,0,13,13,3,NA,3,1,0
